county_fips,county_name,year,child_pop,child_poverty_rate,pct_black,pct_native_american,pct_hispanic,housing_burden_rate
06047,Merced,2010,80613,20.79,3.97,7.58,54.73,50.13
06049,Modoc,2010,2129,18.51,1.04,1.34,13.61,42.63
06051,Mono,2010,2972,10.16,0.85,0.27,25.15,49.54
06053,Monterey,2010,109489,14.14,3.36,6.56,56.19,49.6
06055,Napa,2010,31230,7.97,2.26,6.74,31.58,50.36
06057,Nevada,2010,19683,6.51,0.44,1.31,8.14,56.87
06059,Orange,2010,741100,8.72,1.65,17.82,33.29,53.06
06061,Placer,2010,83548,4.46,1.35,5.91,12.31,51.12
06063,Plumas,2010,3810,10.97,1.12,0.95,7.89,41.73
06065,Riverside,2010,611230,12.23,6.32,5.87,44.97,56.82
06067,Sacramento,2010,362692,13.15,10.42,14.51,21.16,53.95
06069,San Benito,2010,16186,7.99,1.23,2.38,55.09,53.46
06071,San Bernardino,2010,600656,13.6,9.11,6.32,48.96,54.95
06073,San Diego,2010,718948,10.47,5.2,11.15,32.1,54.04
06075,San Francisco,2010,106534,8.12,6.29,33.91,14.87,42.61
06077,San Joaquin,2010,200865,14.15,7.49,14.69,38.59,54.34
06079,San Luis Obispo,2010,50999,7.48,2.28,3.28,21.21,55.59
06081,San Mateo,2010,157194,6.15,2.94,24.6,24.69,45.27
06083,Santa Barbara,2010,96848,11.68,1.99,5.16,42.55,54.58
06085,Santa Clara,2010,421580,7.13,2.6,32.0,26.68,44.09
06087,Santa Cruz,2010,55155,9.49,0.98,4.27,31.98,55.26
06089,Shasta,2010,40706,14.94,0.84,2.53,8.13,54.56
06091,Sierra,2010,582,5.84,1.1,0.15,7.86,41.96
06093,Siskiyou,2010,9215,16.84,1.32,1.29,10.19,52.44
06095,Solano,2010,103459,9.87,15.29,14.86,23.85,53.28
06097,Sonoma,2010,106522,8.84,1.5,4.02,23.98,52.46
06099,Stanislaus,2010,148737,15.39,2.84,5.31,41.22,55.23
06101,Sutter,2010,25993,14.53,1.63,13.55,28.06,47.54
06103,Tehama,2010,16239,20.85,0.61,1.23,21.27,48.82
06105,Trinity,2010,2608,9.13,0.41,1.26,6.74,45.16
06107,Tulare,2010,140823,21.54,1.48,3.46,59.7,47.97
06109,Tuolumne,2010,10037,9.87,2.51,1.1,11.32,54.64
06111,Ventura,2010,213098,8.41,1.82,6.98,39.51,52.6
06113,Yolo,2010,45135,11.6,2.47,13.54,31.03,54.9
06115,Yuba,2010,20911,20.23,2.58,7.08,24.8,48.61
06001,Alameda,2010,338918,9.65,12.86,26.47,22.29,49.38
06003,Alpine,2010,307,9.77,0.0,4.34,5.7,19.27
06005,Amador,2010,6697,3.49,2.1,1.26,13.42,52.26
06007,Butte,2010,46667,13.55,1.51,4.07,13.82,57.06
06009,Calaveras,2010,9223,6.82,1.03,1.39,10.11,46.43
06011,Colusa,2010,6290,16.82,0.94,1.05,53.62,42.3
06013,Contra Costa,2010,258570,7.63,9.15,14.3,23.66,52.53
06015,Del Norte,2010,6356,23.1,3.94,3.54,19.45,50.3
06017,El Dorado,2010,42118,6.78,0.64,3.41,11.62,51.32
06019,Fresno,2010,274337,21.92,5.13,9.57,50.15,52.27
06021,Glenn,2010,7962,16.21,0.71,2.26,35.86,49.84
06023,Humboldt,2010,27177,13.1,1.14,2.22,9.45,56.02
06025,Imperial,2010,49691,18.43,3.69,1.71,84.06,50.45
06027,Inyo,2010,4040,11.36,0.97,1.42,18.08,45.11
06029,Kern,2010,249633,19.52,5.82,4.13,49.99,51.15
06031,Kings,2010,41857,21.06,8.62,4.36,56.1,42.23
06033,Lake,2010,14065,17.5,2.18,1.08,16.6,58.9
06035,Lassen,2010,6386,9.05,12.36,2.72,24.7,52.53
06037,Los Angeles,2010,2460513,14.61,8.88,13.95,47.88,54.15
06039,Madera,2010,42452,19.49,4.09,2.13,55.53,49.63
06041,Marin,2010,51449,5.21,3.1,5.8,14.86,52.11
06043,Mariposa,2010,3467,12.32,0.54,1.14,9.31,36.47
06045,Mendocino,2010,19628,14.71,1.0,1.84,21.42,51.01
06047,Merced,2011,80678,22.42,3.94,7.58,55.3,51.46
06043,Mariposa,2011,3382,19.81,0.99,1.1,9.5,39.99
06115,Yuba,2011,20968,20.83,2.68,7.17,25.2,49.16
06013,Contra Costa,2011,259160,8.39,9.22,14.39,24.13,52.77
06035,Lassen,2011,6093,10.49,12.53,1.91,24.97,47.51
06099,Stanislaus,2011,148069,16.65,2.9,5.28,41.83,55.17
06097,Sonoma,2011,106283,9.29,1.52,4.09,24.68,52.17
06103,Tehama,2011,16180,21.92,0.67,1.24,21.76,49.56
06051,Mono,2011,2963,8.71,1.3,0.56,26.01,54.44
06069,San Benito,2011,16141,8.69,1.33,2.45,55.86,53.68
06067,Sacramento,2011,362686,14.0,10.43,14.61,21.63,53.96
06017,El Dorado,2011,41496,7.0,0.77,3.5,11.88,50.41
06053,Monterey,2011,110356,15.07,3.27,6.46,57.07,50.82
06091,Sierra,2011,554,4.69,1.17,0.09,7.61,52.6
06033,Lake,2011,13843,19.03,2.27,1.15,17.02,60.72
06049,Modoc,2011,2120,19.43,1.17,0.79,14.03,53.14
06027,Inyo,2011,3986,11.74,1.13,1.5,19.02,45.02
06083,Santa Barbara,2011,96726,11.69,1.92,5.19,43.59,54.47
06025,Imperial,2011,50261,20.15,3.72,1.71,84.66,51.34
06001,Alameda,2011,339631,10.1,12.68,26.66,22.61,49.32
06055,Napa,2011,31335,7.98,2.05,6.98,32.3,52.37
06075,San Francisco,2011,107294,7.96,6.26,33.97,15.13,42.81
06011,Colusa,2011,6356,15.2,0.97,1.2,54.64,42.73
06031,Kings,2011,42256,21.59,8.14,4.26,56.62,44.37
06019,Fresno,2011,276004,22.59,5.15,9.67,50.73,53.19
06059,Orange,2011,738138,9.51,1.68,18.04,33.68,53.57
06101,Sutter,2011,26055,15.81,1.93,14.0,28.62,48.9
06077,San Joaquin,2011,200978,15.04,7.58,14.72,39.19,54.68
